music_singer	music_name	music_genre	music_bpm	music_musadd	music_melody	music_gender
Crush	Outside (Feat. Beenzino)	R&B / Soul	115	C:\Users\choi9\Downloads\song\041 Crush-02-Outside (Feat. Beenzino).mp3		M
볼빨간사춘기	나만 안되는 연애	Folk	136	C:\Users\choi9\Downloads\song\042 볼빨간사춘기-05-나만 안되는 연애.mp3		F
헤이즈 (Heize)	돌아오지마 (Feat. 용준형 Of 비스트)	Rap / Hip-hop	95.41	C:\Users\choi9\Downloads\song\043 헤이즈 (Heize)-02-돌아오지마 (Feat. 용준형 Of 비스트).mp3		MIX
BLACKPINK	불장난	Dance	96.99	C:\Users\choi9\Downloads\song\044 BLACKPINK-01-불장난.mp3		F
박재범	ALL I WANNA DO (K) (Feat. Hoody/ Loco)	R&B / Soul	96.01	"C:\Users\choi9\Downloads\song\045 박재범-04-ALL I WANNA DO (K) (Feat. Hoody, Loco).mp3"		MIX
볼빨간사춘기	우주를 줄게	Folk	82.99	C:\Users\choi9\Downloads\song\046 볼빨간사춘기-01-우주를 줄게.mp3		F
The Chainsmokers	Closer (Feat. Halsey)	Electronica	94.97	C:\Users\choi9\Downloads\song\047 The Chainsmokers-03-Closer (Feat. Halsey).mp3		MIX
딥플로우	작두 (Feat. 넉살/ Huckleberry P)	Rap / Hip-hop	84.02	"C:\Users\choi9\Downloads\song\048 딥플로우-06-작두 (Feat. 넉살, Huckleberry P).mp3"		M
뉴이스트	여보세요	Ballad	95.99	C:\Users\choi9\Downloads\song\049 뉴이스트-01-여보세요.mp3		M
린	On&On (Feat. 챈슬러)	R&B / Soul	90.01	C:\Users\choi9\Downloads\song\050 린-02-On&On (Feat. 챈슬러).mp3		MIX
정키	부담이 돼 (Feat. 휘인 Of 마마무)	Ballad	137.91	C:\Users\choi9\Downloads\song\051 정키-01-부담이 돼 (Feat. 휘인 Of 마마무).mp3		MIX
신현희와김루트	오빠야	Folk	109.98	C:\Users\choi9\Downloads\song\052 신현희와김루트-02-오빠야.mp3		MIX
하이라이트 (Highlight)	CALLING YOU	Dance	89.99	C:\Users\choi9\Downloads\song\053 하이라이트 (Highlight)-01-CALLING YOU.mp3		M
지코 (ZICO)	천재 (Behind the scene)	Rap / Hip-hop	103.13	C:\Users\choi9\Downloads\song\054 지코 (ZICO)-01-천재 (Behind the scene).mp3		M
DEAN	D (half moon) (Feat. 개코)	R&B / Soul	84.98	C:\Users\choi9\Downloads\song\055 DEAN-05-D (half moon) (Feat. 개코).mp3		M
G-DRAGON	개소리 (BULLSHIT)	Rap / Hip-hop	96.02	C:\Users\choi9\Downloads\song\056 G-DRAGON-02-개소리 (BULLSHIT).mp3		M
마마무	Decalcomanie (데칼코마니)	Dance	115.94	C:\Users\choi9\Downloads\song\057 마마무-02-Decalcomanie (데칼코마니).mp3		F
제시 (Jessi)	Gucci	Rap / Hip-hop	100.2	C:\Users\choi9\Downloads\song\058 제시 (Jessi)-01-Gucci.mp3		F
슬레이트	Oh Little Girl	Dance	93.02	C:\Users\choi9\Downloads\song\059 슬레이트-04-Oh Little Girl.mp3		F
Justin Bieber	Love Yourself	Pop	100.01	C:\Users\choi9\Downloads\song\060 Justin Bieber-05-Love Yourself.mp3		M
TWICE (트와이스)	TT	Dance	130	C:\Users\choi9\Downloads\song\061 TWICE (트와이스)-01-TT.mp3		F
엠씨더맥스	어디에도	Ballad	131.97	C:\Users\choi9\Downloads\song\062 엠씨더맥스-02-어디에도.mp3		M
아이오아이 (I.O.I)	소나기	Ballad	124.64	C:\Users\choi9\Downloads\song\063 아이오아이 (I.O.I)-01-소나기.mp3		F
시우민 (XIUMIN)/ 마크 (MARK)	Young & Free	Dance	100.03	C:\Users\choi9\Downloads\song\064 시우민 (XIUMIN)-01-Young & Free.mp3		M
The Chainsmokers/ Coldplay	Something Just Like This	Electronica	102.99	C:\Users\choi9\Downloads\song\065 The Chainsmokers-05-Something Just Like This.mp3		M
하이라이트 (Highlight)	얼굴 찌푸리지 말아요	Dance	150	C:\Users\choi9\Downloads\song\066 하이라이트 (Highlight)-01-얼굴 찌푸리지 말아요.mp3		M
한동근	그대라는 사치	Ballad	136	C:\Users\choi9\Downloads\song\067 한동근-01-그대라는 사치.mp3		M
정승환	너였다면	Drama	135.95	C:\Users\choi9\Downloads\song\068 정승환-01-너였다면.mp3		M
케이시 (Kassy)	굿모닝 (Good Morning)	Drama	85.02	C:\Users\choi9\Downloads\song\069 케이시 (Kassy)-01-굿모닝 (Good Morning).mp3		F
싸이 (PSY)	어땠을까 (Feat. 박정현)	Rap / Hip-hop	106.01	C:\Users\choi9\Downloads\song\070 싸이 (PSY)-05-어땠을까 (Feat. 박정현).mp3		MIX
볼빨간사춘기	심술	Folk	156.02	C:\Users\choi9\Downloads\song\071 볼빨간사춘기-04-심술.mp3		F
PRODUCE 101	나야 나 (PICK ME)	Dance	128.01	C:\Users\choi9\Downloads\song\072 PRODUCE 101-01-나야 나 (PICK ME).mp3		M
Charlie Puth/ Wiz Khalifa	See You Again (폴 워커 추모 엔딩곡)	Foreign Movie	160.13	C:\Users\choi9\Downloads\song\073 Charlie Puth-07-See You Again (폴 워커 추모 엔딩곡).mp3		M
로꼬	지나쳐 (Feat. DEAN)	Rap / Hip-hop	102.01	C:\Users\choi9\Downloads\song\074 로꼬-06-지나쳐 (Feat. DEAN).mp3		M
악동뮤지션	오랜 날 오랜 밤	Folk	117.06	C:\Users\choi9\Downloads\song\075 악동뮤지션-03-오랜 날 오랜 밤.mp3		MIX
Red Velvet (레드벨벳)	You Better Know	Dance	120.02	C:\Users\choi9\Downloads\song\076 Red Velvet (레드벨벳)-02-You Better Know.mp3		F
Crush	Beautiful	Drama	109.87	C:\Users\choi9\Downloads\song\077 Crush-01-Beautiful.mp3		M
창모 (CHANGMO)	마에스트로 (Maestro)	Rap / Hip-hop	113.99	C:\Users\choi9\Downloads\song\078 창모 (CHANGMO)-04-마에스트로 (Maestro).mp3		M
Red Velvet (레드벨벳)	Rookie	Dance	163.99	C:\Users\choi9\Downloads\song\079 Red Velvet (레드벨벳)-01-Rookie.mp3		F
TWICE (트와이스)	CHEER UP	Dance	86.5	C:\Users\choi9\Downloads\song\080 TWICE (트와이스)-01-CHEER UP.mp3		F
길구봉구	바람이 불었으면 좋겠어	Ballad	135.99	C:\Users\choi9\Downloads\song\081 길구봉구-01-바람이 불었으면 좋겠어.mp3		F
PRODUCE 101	Hands on me	Dance	120	C:\Users\choi9\Downloads\song\082 PRODUCE 101-01-Hands on me.mp3		M
지코 (ZICO)	She`s a Baby	R&B / Soul	153.93	C:\Users\choi9\Downloads\song\083 지코 (ZICO)-01-She`s a Baby.mp3		M
Knock	열어줘	Dance	145.95	C:\Users\choi9\Downloads\song\084 Knock-03-열어줘.mp3		M
서은광 (비투비)/ 임현식 (비투비)/ 육성재 (비투비)	알듯 말듯해	Drama	98	C:\Users\choi9\Downloads\song\085 서은광 (비투비)-01-알듯 말듯해.mp3		M
효린/ 키썸 (Kisum)	FRUITY (Prod. GroovyRoom)	Dance	97.01	C:\Users\choi9\Downloads\song\086 효린-01-FRUITY (Prod. GroovyRoom).mp3		F
한동근	이 소설의 끝을 다시 써보려 해	Ballad	134.15	C:\Users\choi9\Downloads\song\087 한동근-01-이 소설의 끝을 다시 써보려 해.mp3		M
세븐틴	울고 싶지 않아	Dance	100.02	C:\Users\choi9\Downloads\song\088 세븐틴-01-울고 싶지 않아.mp3		M
볼빨간사춘기	You(=I)	Folk	105	C:\Users\choi9\Downloads\song\089 볼빨간사춘기-03-You(=I).mp3		F
G-DRAGON	SUPER STAR	Rap / Hip-hop	130.01	C:\Users\choi9\Downloads\song\090 G-DRAGON-03-SUPER STAR.mp3		M
